id,content
1,"내 아이를 위한
감정코칭
1차례
들어가는 글 감정코칭을 선택해야 하는 이유_조벽
들어가는 글 감정코칭 아이와 마음을 나누는 마법의 기술_존 가트맨
들어가는 글 아주 작은 노력으로 출발할 수 있는 감정코칭_최성애
•
004
.016
. 021
변화에 능동적으로 대처할 수 있다
감염성 질병에 덜 걸린다
0.072
• 075
1. 감정을 잘 다루는 아이가 행복하다
● 아이, 감정 속에서 길을 잃다
감정 배움터가 사라지고 있다
감정을 무시당할수록 자존감이 낮고 스트레스에 약하다
감정은 다 받아주고, 행동은 한계를 정해준다
2. 감정에 솔직한 아이로 키우자
.
040
※ 자기감정에 솔직한 부모가 아이 감정도 잘 안다
나도 모르는 내 감정의 근원, 초감정 알기
• 079
042
EMOTION COACHING TIPS 내 안에 있는 '초감정' 이해하기
자기 안에 있는 아이를 깨워라
• 085
• 086
.045
감정코칭 놀이 POINT 놀이의 중요성
• 092"
2,"• 085
• 086
.045
감정코칭 놀이 POINT 놀이의 중요성
• 092
※ 아이의 감정을 공감해주는 것이 진짜 사랑
감정을 숨기지 말고 있는 그대로 느껴라
• 094
아이를 정말 제대로 사랑하고 있는 걸까?
.049
|EMOTION COACHING TIPS 격한 감정을 가라앉히는 30초 호흡법
감정과 친해지는 연습이 필요하다
• 097
• 098
감정을 공감해야 하는 이유는 뇌가 말해준다
• 051
모든 선택은 감정이 결정한다
• 059
아이의 감정에 어떻게 반응해야 할까?
감정 공감, 일찍 시작할수록 좋다
.061
별것 아니야, 축소전환형 부모
그럼 못써, 억압형 부모
※ 감정코칭을 받은 아이. 이렇게 달라진다
뭐든 괜찮아, 방임형 부모
102
• 105
• 107
집중력이 높다
.065
함께 찾아보자, 감정코치형 부모
• 108
자기주도학습 능력이 우수해 학업 성취도가 높다
.
066
기분이 나쁘더라도 자기 진정을 잘한다
.067
심리적 면역력이 강하다
.068"
3,".
066
기분이 나쁘더라도 자기 진정을 잘한다
.067
심리적 면역력이 강하다
.068
또래 관계가 좋다
.071
※ 마음만 열면 누구나 아이의 감정을 이해할 수 있다
100% 완벽한 감정코치형 부모는 없다
아이의 타고난 기질을 알면 감정코칭이 쉽다
113
• 114
아이의 환경을 인정해야 감정이 통한다
지나친 감정 자극은 모자람만 못하다
.119
121
먼저 사과하기
감정 공감이 될 때까지 조금 더 인내하자
감정코칭 놀이 POINT 혼자 노는 것도 필요해요
167
122
감정코칭 놀이 POINT 여자는 여자끼리, 남자는 남자끼리
• 169
.124
부모의 이혼으로 벼랑 끝에 선 아이들
● 부모가 행복하면 아이의 행복이 두 배로 커진다
부부 갈등의 최대 피해자는 아이
127
4. 아이와 교감하는 감정코칭 5단계
• 130
아빠가 감정코칭에 참여하면 아이가 더 행복하다
.133
감정코칭 놀이 POINT 부모! 어떻게 놀아주는 것이 좋을까?
※ 감정코칭 1단계, 아이의 감정 인식하기"
4,"※ 감정코칭 1단계, 아이의 감정 인식하기
작은 감정을 보일 때 재빨리 알아차려라
173
• 136
행동의 숨은 감정에 주목하라
174
감정에도 다양한 색깔이 있다
175
아이의 감정을 인식하기 어렵다면 물어본다
• 176
3. 아이의 마음을 여는 감정코칭 대화법
● 아이의 마음을 여는 대화와 닫는 대화
아이와 관계를 망치는 대화
EMOTION COACHING TIPS 초등학교 5학년 배중연 어린이의 감정 날씨 차트
.179
※ 감정코칭 2단계, 감정적 순간을 좋은 기회로 삼기
감정이 격할수록 좋은 기회이다
• 181
.141
작은 감정의 변화를 포착하라
• 185
EMOTION COACHING TIPS 무시하는 말보다 더 나쁜 담쌓기'
서로 다가가는 좋은 대화법
.145
• 149
※ 감정코칭 3단계, 아이의 감정 공감하고 경청하기
• 152
긍정적 감정, 부정적 감정 모두 공감해주기
• 190
상처받은 아이의 마음을 풀어주는 대화법
아이 자신도 모르는 복합적인 감정도 받아준다"
5,"상처받은 아이의 마음을 풀어주는 대화법
아이 자신도 모르는 복합적인 감정도 받아준다
• 192
● 칭찬하고 꾸짖을 때도 원칙이 중요하다
01.160
감정을 공감할 때는 언제나 진지하게
왜? 라는 질문은 공감의 맥을 끊는다
.193
• 195
칭찬의 역효과
'왜? 대신 '무엇'과 '어떻게'로 접근하라
• 197
• 164
제대로 꾸중하기
아이가 하는 말을 따라 하면 감정 공감이 쉽다
• 200
• 166
화난 감정 제대로 표현하기
감정을 공감해주기만 해도 아이가 다가온다
203
감정코칭 4단계, 아이가 감정을 표현하도록 도와주기
감정에 이름 붙여주기
감정코칭 놀이 POINT 0~12개월 무렵 아이와의 놀이법
• 256
• 206
아이 스스로 자기감정을 표현할 수 있도록 돕기
• 207
※ 감정 표현에 서툰 유아, 알아주지 않으면 더 엇나간다
""싫어"" 하고 반항하는 아이의 속마음을 읽어라
• 259
감정코칭 5단계, 아이 스스로 문제를 해결할 수 있도록 하기"
6,"• 259
감정코칭 5단계, 아이 스스로 문제를 해결할 수 있도록 하기
감정코칭 놀이 POINT 만 24개월 무렵 아이와의 놀이법
원초적인 독점욕 이해하기
262
• 264
먼저 공감하고 행동의 한계를 정해준다
• 211
아이가 원하는 목표 확인하기
.213
부모가 감정을 표현하고 조절하는 모범을 보인다
감정코칭 놀이 POINT 만 36개월 무렵 아이와의 놀이법
• 265
⚫ 266
해결책 찾아보기
• 215
해결책 검토하기
• 217
※ 취학 전 아동, 친구들과의 관계가 중요하다
아이가 스스로 해결책을 선택하도록 돕기
감정코칭을 하지 말아야 할 때
.218
아이의 감정을 묻고 표현하도록 격려한다
친구를 통해 감정 조절법을 익히도록 돕는다
.270
272
• 220
아이에게 의견을 묻기보다 선택권을 준다
273
아이들의 원초적인 두려움을 이해하라
• 274
감정코칭 놀이 POINT 만 48개월 무렵 아이와의 놀이법
• 278
5. 성장 시기에 따라 아이를 대하는 방법도 달라야 한다"
7,"• 278
5. 성장 시기에 따라 아이를 대하는 방법도 달라야 한다
감정코칭 놀이 POINT 만 60개월 무렵 아이와의 놀이법
• 281
첫돌 전 아이, 눈 맞추고 감정도 나눈다
생후 0~3개월, 부모와 감정적 유대감 형성하기
• 233
.234
감정코칭 놀이 POINT 신생아의 놀라운 능력
생후 3개월, 본격적인 감정 교류를 시작하라
※ 초등학생, 아이에게 모멸감과 수치심은 금물!
초등 1~2학년, 칭찬과 격려를 아끼지 않는다
감정코칭 놀이 POINT 만 6세 무렵 아이와의 놀이법
감정코칭 놀이 POINT 만 7세 무렵 아이와의 놀이법
• 284
•287
• 290
• 240
• 242
생후 3~6개월, 긍정적인 감정 교류가 중요하다
초등3~4학년, 옳고 그름을 스스로 생각해보도록 돕기
초등 5~6학년, 불안정한 감정 따뜻하게 끌어안기
• 293
• 296
246
감정코칭 놀이 POINT 만 8~11세 무렵 아이와의 놀이법
.298"
8,"• 296
246
감정코칭 놀이 POINT 만 8~11세 무렵 아이와의 놀이법
.298
생후 6~8개월, 아기의 감정을 읽어주고 말해주기
• 249
생후 9~12개월, 아기와 생각과 감정 나누기
질풍노도의 사춘기, 공감 또 공감이 필요하다
사춘기의 잠을 이해하라
몸으로 배울 수 있는 기회를 많이 제공한다
즐거운 경험을 많이 할 수 있도록 돕는다
청소년의 알 수 없는 행동, '뇌' 때문이다
감정의 뇌'가 전두엽 확대 리모델링을 주관한다
변덕이 죽 끓는듯해도 다 받아줘라
301
친구가 약속을 지키지 않아 분노에 휩싸인 상황(8세, 남)
• 334
• 303
좋아하는 물건을 친구가 몰래 사용해서 화가 많이 난 상황(8세, 남)
• 337
H-305
부록4: 마음에 들지 않는 일도 이해해야 할 때
• 306
공부를 하지 않아 잔소리를 하자 화를 내는 상황(11세, 여)
• 340
• 308
.309"
9,"• 340
• 308
.309
사이즈가 맞지 않아 옷을 사지 못하는데, 아이가 계속 칭얼거리는 상황(8세, 여) • 342
윷놀이 중 친구들이 억지를 부려 싸움이 난 상황(10세, 남)
• 343
매니저가 아닌 컨설턴트로 다가간다
.311
EMOTION CDACHING TIPS 남학생과 여학생은 감정을 표출하는 방식이 다르다. 317
※ 부록5: 아이가 자신의 뜻대로 되지 않아 고집을 부릴 때
방 안에서 뛰어놀다 넘어져 입술을 다쳐 울고 있는 상황(7세, 남)
유치원에 갈 시간이 다 됐는데 옷을 입지 않고 미적거리는 상황(5세, 여)
• 346
• 348
상황별 감정코칭 실제 사례
* 부록1: 아이가 떼를 쓰고 화를 낼 때
유치원에서 혼자만 심부름을 하려고 심통을 부리는 상황(4세, 여)
비가 오는데 산책을 나가자고 떼를 쓰는 상황(5세, 여)
• 320
⚫ 321
.323
형이 친구하고만 놀아서 화를 내는 상황(7세, 남)
부록2 : 아이가 속상해하며 울 때"
10,"형이 친구하고만 놀아서 화를 내는 상황(7세, 남)
부록2 : 아이가 속상해하며 울 때
유치원에서 혼난 뒤 주눅이 들어 집에 온 상황(7세, 남)
동생이 인형 옷을 찢어 울고 있는 상황(7세, 여)
부록3 : 아이가 혼란스러운 감정을 느낄 때
친구가 읽고 있는 책을 달라는 상황(5세, 여)
애써 만든 로봇을 형이 망가뜨려 울고 있는 상황(6세, 남)
.326
⚫ 328
• 329
• 332
EMOTION COACHING
아이, 감정 속에서 길을 잃다
•초등학교 1학년 혜민이는 아침마다 학교에 가기 싫다고 웁니다. 이유는 남
•자 짝지가 반찬을 뺏어서 다른 애들에게 주거나 침을 함부로 뱉거나 밀치고
아프게 해서 싫다는 것입니다. 혜민이 부모님은 달래서라도 혜민이를 학교
에 보내야 할지, 그까짓 일로 학교를 안 가겠다고 우는 혜민이를 야단쳐서라
도 억지로 등떠밀어 학교에 보내야 할지, 담임 선생님께 도움을 청해야 할지
혼란스럽습니다."
